selling_price (in lakhs),age,seller_type,km_driven (in thousands),owner_type,fuel_type,transmission_type,mileage,engine_size (in cc),max_power (in bhp),seats,maker,model,variant
6.0,6.0,Individual,48.0,First Owner,Diesel,Manual,19.87,1461,83.8,5,RENAULT,DUSTER,85PS DIESEL RXL PLUS
6.0,3.0,Individual,18.0,First Owner,Petrol,Manual,18.7,1199,88.7,5,HONDA,JAZZ,1.2 V I VTEC
2.7,9.0,Individual,57.413,First Owner,LPG,Manual,14.4,998,61.7,5,MARUTI,WAGON,R LXI DUO
5.0,6.0,Individual,30.0,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,MAGNA 1.2
6.5,6.0,Dealer,55.0,First Owner,Diesel,Manual,23.9,1582,126.2,5,HYUNDAI,VERNA,1.6 CRDI SX
3.8,6.0,Individual,120.0,First Owner,Petrol,Manual,18.2,1199,82.4,5,CHEVROLET,SAIL,1.2 LS ABS
7.28,9.0,Individual,165.0,First Owner,Diesel,Manual,13.5,2477,175.56,7,MITSUBISHI,PAJERO,SPORT 4X4
6.6,3.0,Individual,10.0,First Owner,Petrol,Automatic,21.21,1197,81.8,5,MARUTI,SWIFT,AMT ZXI
1.8,11.0,Individual,120.0,First Owner,Diesel,Manual,18.0,1248,75.0,5,TATA,INDICA,VISTA AURA 1.3 QUADRAJET
20.9,5.0,Dealer,68.0,First Owner,Diesel,Automatic,22.69,1995,190.0,5,BMW,3,SERIES 320D LUXURY LINE
2.5,6.0,Dealer,55.0,First Owner,Diesel,Manual,25.44,936,56.3,5,CHEVROLET,BEAT,DIESEL LS
12.75,1.0,Dealer,8.0,First Owner,Petrol,Manual,16.8,1497,113.4,5,KIA,SELTOS,HTK PLUS G
4.55,9.0,Dealer,80.0,First Owner,Petrol,Manual,14.53,1798,138.1,5,TOYOTA,COROLLA,ALTIS G
4.95,6.0,Dealer,65.0,First Owner,Diesel,Manual,28.4,1248,74.0,5,MARUTI,SWIFT,VDI
2.2,11.0,Individual,47.0,First Owner,Petrol,Manual,21.1,1197,85.8,5,MARUTI,RITZ,VXI
8.0,3.0,Individual,185.0,First Owner,Diesel,Manual,25.1,1248,88.5,5,MARUTI,S-CROSS,2017-2020 ZETA DDIS 200 SH
12.95,7.0,Dealer,68.0,First Owner,Diesel,Automatic,13.01,2199,194.3,7,HYUNDAI,SANTA,FE 2WD AT
4.75,5.0,Individual,25.0,First Owner,Petrol,Manual,18.9,1197,82.0,5,HYUNDAI,GRAND,I10 SPORTZ
3.8,7.0,Individual,280.0,First Owner,Diesel,Manual,15.3,2956,83.83,7,TATA,SUMO,GOLD EX
9.0,3.0,Individual,7.791,First Owner,Diesel,Manual,25.1,1248,88.5,5,MARUTI,S-CROSS,2017-2020 ZETA DDIS 200 SH
5.3,6.0,Individual,70.0,First Owner,Petrol,Manual,20.73,1373,91.1,5,MARUTI,CIAZ,VXI PLUS
5.3,5.0,Individual,9.5,First Owner,Petrol,Manual,23.84,1199,84.0,5,TATA,TIAGO,1.2 REVOTRON XZ
6.5,6.0,Individual,9.1,First Owner,Petrol,Manual,17.01,1591,121.3,5,HYUNDAI,VERNA,1.6 VTVT S
4.95,11.0,Dealer,82.0,First Owner,Petrol,Manual,12.8,2354,177.6,5,HONDA,NEW,ACCORD 2008-2011 2.4 MT
3.35,11.0,Dealer,86.0,First Owner,Petrol,Manual,17.0,1497,118.0,5,HONDA,CITY,1.5 S MT
46.75,1.0,Dealer,19.0,First Owner,Diesel,Automatic,17.01,1968,188.0,5,AUDI,Q5,40 TDI TECHNOLOGY
12.9,8.0,Dealer,78.0,First Owner,Diesel,Automatic,16.55,1968,147.51,5,AUDI,A4,2.0 TDI
3.0,10.0,Individual,60.0,First Owner,Diesel,Manual,20.0,1399,68.0,5,FORD,FIGO,DIESEL TITANIUM
5.5,2.0,Trustmark Dealer,7.883,First Owner,Petrol,Automatic,21.5,1197,81.8,5,MARUTI,WAGON,R ZXI AMT 1.2BSIV
3.9,8.0,Trustmark Dealer,50.205,First Owner,Diesel,Manual,23.4,1248,74.0,5,MARUTI,SWIFT,DZIRE LDI
2.6,13.0,Individual,220.0,First Owner,Diesel,Manual,13.6,2523,63.0,7,MAHINDRA,BOLERO,DI AC BSIII
3.95,4.0,Dealer,58.0,First Owner,Diesel,Manual,24.7,1047,69.0,5,TATA,TIGOR,1.05 REVOTORQ XT
5.5,9.0,Individual,170.0,First Owner,Diesel,Manual,12.05,2179,120.0,8,MAHINDRA,SCORPIO,SLE BSIII
6.5,3.0,Individual,15.0,First Owner,Petrol,Manual,22.0,1197,81.8,5,MARUTI,SWIFT,DZIRE VXI 1.2 BS IV
3.75,5.0,Dealer,71.245,First Owner,Diesel,Manual,28.4,1248,74.0,5,MARUTI,SWIFT,DDIS LDI
3.0,9.0,Individual,20.0,First Owner,Diesel,Manual,21.12,1248,88.8,5,TATA,MANZA,ELAN QUADRAJET BS IV
