selling_price (in lakhs),age,seller_type,km_driven (in thousands),owner_type,fuel_type,transmission_type,mileage,engine_size (in cc),max_power (in bhp),seats,maker,model,variant
7.5,5.0,Individual,19.0,First Owner,Petrol,Manual,17.5,1373,91.1,7,MARUTI,ERTIGA,BSIV VXI
2.8,9.0,Individual,80.0,First Owner,Diesel,Manual,23.2,1248,73.94,5,MARUTI,RITZ,VDI
3.35,10.0,Dealer,70.035,First Owner,Diesel,Manual,21.79,1248,88.73,5,MARUTI,SX4,ZDI
3.5,3.0,Individual,45.0,First Owner,Petrol,Manual,25.17,799,53.3,5,RENAULT,KWID,RXL
6.0,7.0,Individual,70.0,First Owner,Diesel,Manual,26.0,1498,98.6,5,HONDA,CITY,I DTEC V
6.95,5.0,Dealer,64.0,First Owner,Diesel,Manual,21.19,1396,88.73,5,HYUNDAI,I20,ACTIVE 1.4 SX
4.21,8.0,Dealer,55.322,First Owner,Petrol,Manual,16.47,1198,74.0,5,VOLKSWAGEN,POLO,1.2 MPI HIGHLINE
7.41,3.0,Dealer,19.0,First Owner,Petrol,Manual,21.21,1197,81.8,5,MARUTI,SWIFT,DZIRE ZXI PLUS
4.85,6.0,Dealer,47.0,First Owner,Petrol,Manual,15.0,1598,103.5,5,SKODA,RAPID,1.6 MPI AMBITION PLUS
2.2,14.0,Dealer,77.433,First Owner,Petrol,Manual,12.8,1493,100.0,5,HONDA,CITY,1.5 GXI
8.1,3.0,Dealer,13.0,First Owner,Diesel,Manual,18.49,1493,100.0,7,MAHINDRA,TUV,300 T6 PLUS
6.75,3.0,Dealer,16.285,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,1.2 ASTA DUAL TONE
2.9,9.0,Individual,110.0,First Owner,Diesel,Manual,13.93,2179,138.03,7,TATA,SAFARI,2005-2017 DICOR 2.2 LX 4X2 BS IV
5.8,7.0,Dealer,72.569,First Owner,Diesel,Manual,22.7,1498,89.84,5,FORD,ECOSPORT,1.5 DV5 MT TITANIUM
16.99,6.0,Dealer,24.589,First Owner,Petrol,Automatic,16.6,1798,177.5,5,AUDI,A3,40 TFSI PREMIUM PLUS
5.0,7.0,Dealer,55.0,First Owner,Diesel,Manual,20.77,1248,88.76,7,MARUTI,ERTIGA,VDI
3.0,9.0,Individual,101.991,First Owner,Diesel,Manual,21.12,1248,88.8,5,TATA,MANZA,ELAN QUADRAJET BS IV
8.0,3.0,Individual,35.0,First Owner,Petrol,Manual,20.73,1373,91.1,5,MARUTI,CIAZ,1.4 DELTA
5.0,6.0,Individual,110.0,First Owner,Diesel,Manual,23.0,1248,88.7,5,TATA,ZEST,QUADRAJET 1.3 XM
3.75,4.0,Dealer,20.0,First Owner,Petrol,Manual,25.17,799,53.3,5,RENAULT,KWID,RXT OPTIONAL
6.0,4.0,Dealer,43.0,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,1.2 MAGNA EXECUTIVE
10.0,11.0,Dealer,85.0,First Owner,Diesel,Manual,11.5,2982,171.0,7,TOYOTA,FORTUNER,3.0 DIESEL
5.0,5.0,Individual,40.0,First Owner,Diesel,Manual,25.2,1248,74.0,5,MARUTI,SWIFT,VDI BSIV
3.49,10.0,Dealer,70.0,First Owner,Diesel,Manual,20.54,1598,103.6,5,VOLKSWAGEN,VENTO,DIESEL HIGHLINE
4.21,4.0,Individual,40.0,First Owner,Petrol,Manual,19.44,1198,67.0,7,DATSUN,GO,PLUS T OPTION BSIV
3.5,6.0,Individual,30.0,First Owner,Petrol,Manual,23.95,998,67.1,5,MARUTI,ALTO,K10 VXI AIRBAG
12.75,6.0,Dealer,68.0,First Owner,Diesel,Automatic,17.2,1968,138.03,5,SKODA,SUPERB,ELEGANCE 2.0 TDI CR AT
4.5,6.0,Dealer,47.745,First Owner,Diesel,Manual,27.4,1498,98.63,5,HONDA,AMAZE,S DIESEL BSIV
3.95,4.0,Dealer,76.0,First Owner,CNG,Manual,21.94,1196,61.7,5,MARUTI,EECO,CNG 5 SEATER AC BSIV
22.5,6.0,Dealer,38.0,First Owner,Diesel,Automatic,19.59,1995,184.0,5,BMW,3,SERIES GT 320D LUXURY LINE
3.95,10.0,Dealer,25.0,First Owner,Petrol,Automatic,13.4,1997,135.1,5,RENAULT,FLUENCE,2.0
2.7,10.0,Individual,76.0,First Owner,Petrol,Manual,19.81,1086,68.05,5,HYUNDAI,I10,ERA
4.41,3.0,Dealer,36.313,First Owner,Petrol,Manual,23.84,1199,84.0,5,TATA,TIAGO,WIZZ 1.2 REVOTRON
4.85,9.0,Dealer,56.2,First Owner,Diesel,Manual,23.4,1248,74.0,5,MARUTI,SWIFT,DZIRE VDI
5.65,7.0,Dealer,89.0,First Owner,Diesel,Manual,19.3,1248,73.9,5,MARUTI,SWIFT,DZIRE VDI BSIV
3.55,7.0,Dealer,73.0,First Owner,Diesel,Manual,18.2,1248,73.8,8,CHEVROLET,ENJOY,TCDI LTZ 8 SEATER
1.45,15.0,Dealer,127.0,First Owner,Petrol,Manual,16.1,1197,85.0,5,MARUTI,SWIFT,LXI BSIV
9.25,4.0,Dealer,49.0,First Owner,Diesel,Manual,24.52,1248,88.5,7,MARUTI,ERTIGA,SHVS ZDI PLUS
2.2,6.0,Individual,73.0,First Owner,Petrol,Manual,18.6,1199,76.8,5,CHEVROLET,BEAT,LS
1.25,12.0,Individual,57.0,First Owner,Petrol,Manual,15.7,1390,75.0,5,MAHINDRA,RENAULT,LOGAN 1.4 GLX PETROL
1.35,12.0,Dealer,76.0,First Owner,Petrol,Manual,16.2,1172,68.0,5,FIAT,GRANDE,PUNTO 1.2 EMOTION
2.96,12.0,Dealer,91.0,First Owner,Petrol,Manual,14.53,1798,138.1,5,TOYOTA,COROLLA,ALTIS G
3.7,7.0,Individual,35.0,First Owner,Petrol,Manual,20.51,998,67.04,5,MARUTI,WAGON,R VXI
24.5,4.0,Dealer,63.0,First Owner,Diesel,Automatic,15.73,1968,174.33,5,AUDI,Q3,35 TDI QUATTRO PREMIUM PLUS
4.25,6.0,Individual,50.0,First Owner,Petrol,Manual,20.4,1197,83.11,5,MARUTI,SWIFT,LXI OPTIONAL-O
8.25,3.0,Dealer,40.0,First Owner,Diesel,Automatic,28.4,1248,74.02,5,MARUTI,SWIFT,DZIRE AMT VDI
2.75,7.0,Dealer,48.828,First Owner,Petrol,Manual,22.74,796,47.3,5,MARUTI,ALTO,800 LXI
4.65,7.0,Dealer,87.6,First Owner,Diesel,Manual,25.2,1248,74.0,5,MARUTI,SWIFT,LDI BSIV
2.9,8.0,Individual,31.0,First Owner,Petrol,Manual,12.5,1173,75.6,5,PREMIER,RIO,PETROL GLX
10.5,9.0,Dealer,76.728,First Owner,Diesel,Automatic,22.69,1995,190.0,5,BMW,3,SERIES 320D
2.75,11.0,Individual,35.0,First Owner,Petrol,Manual,15.6,1196,70.0,5,FORD,FIGO,PETROL EXI
4.85,9.0,Individual,100.0,First Owner,Diesel,Manual,23.5,1396,88.7,5,HYUNDAI,VERNA,1.4 CX
2.5,9.0,Individual,58.0,First Owner,Diesel,Manual,21.0,1461,64.1,5,MAHINDRA,VERITO,1.5 D4 BSIV
4.6,2.0,Individual,27.0,First Owner,Petrol,Automatic,24.04,999,67.0,5,RENAULT,KWID,1.0 RXT AMT BSIV
2.5,6.0,Individual,20.0,First Owner,Petrol,Manual,20.63,1198,67.06,5,DATSUN,GO,A
1.55,9.0,Individual,110.0,First Owner,Diesel,Manual,25.44,936,57.6,5,CHEVROLET,BEAT,DIESEL LT
3.4,7.0,Dealer,56.795,First Owner,CNG,Manual,26.2,998,58.2,5,MARUTI,WAGON,R LXI CNG
1.2,13.0,Individual,60.0,First Owner,Petrol,Manual,14.2,1598,102.0,5,CHEVROLET,AVEO,1.6 LT
6.0,1.0,Individual,10.0,First Owner,Diesel,Manual,21.0,1498,74.96,7,MAHINDRA,BOLERO,B6 OPT
29.5,6.0,Dealer,50.0,First Owner,Diesel,Automatic,15.26,2143,203.2,5,MERCEDES-BENZ,M-CLASS,ML 250 CDI
9.0,4.0,Dealer,62.428,First Owner,Diesel,Manual,24.3,1248,88.5,5,MARUTI,VITARA,BREZZA ZDI
3.9,13.0,Dealer,71.0,First Owner,Diesel,Manual,10.5,2609,120.0,7,MAHINDRA,SCORPIO,LX 2.6 TURBO
6.75,7.0,Dealer,45.0,First Owner,Diesel,Manual,26.0,1498,98.6,5,HONDA,CITY,I DTEC VX
2.5,7.0,Individual,140.0,First Owner,Diesel,Manual,19.09,1405,69.01,5,TATA,INDIGO,LX (TDI) BS-III
3.5,10.0,Dealer,75.0,First Owner,Petrol,Manual,15.5,1586,103.3,5,MARUTI,SX4,ZXI MT BSIV LEATHER
6.9,9.0,Dealer,82.0,First Owner,Diesel,Manual,16.0,2179,140.0,7,MAHINDRA,XUV500,W6 2WD
4.65,4.0,Dealer,32.0,First Owner,Petrol,Manual,23.84,1199,84.0,5,TATA,TIAGO,1.2 REVOTRON XZ
6.3,4.0,Individual,40.0,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,1.2 SPOTZ
59.0,5.0,Dealer,26.7,First Owner,Diesel,Automatic,15.87,2993,308.43,5,BMW,X6,XDRIVE 40D M SPORT
1.5,13.0,Individual,60.0,First Owner,Petrol,Manual,19.7,796,46.3,5,MARUTI,ALTO,LXI
5.0,6.0,Dealer,18.914,First Owner,Petrol,Manual,20.4,1197,81.8,5,MARUTI,SWIFT,VXI OPTIONAL
3.8,8.0,Dealer,49.0,First Owner,Diesel,Manual,22.07,1199,73.9,5,VOLKSWAGEN,POLO,DIESEL COMFORTLINE 1.2L
5.75,3.0,Dealer,41.0,First Owner,Petrol,Automatic,18.1,1199,88.7,5,HONDA,AMAZE,S CVT I-VTEC
6.11,5.0,Dealer,74.601,First Owner,Diesel,Manual,21.13,1498,108.6,5,SKODA,RAPID,1.5 TDI AMBITION BSIV
8.25,5.0,Dealer,106.739,First Owner,Petrol,Automatic,14.28,1798,138.03,5,TOYOTA,COROLLA,ALTIS G AT
5.01,6.0,Individual,148.0,First Owner,Diesel,Manual,25.8,1498,98.6,5,HONDA,AMAZE,S I-DTECH
7.6,5.0,Dealer,61.0,First Owner,Diesel,Automatic,19.08,1582,126.2,5,HYUNDAI,VERNA,1.6 CRDI AT SX OPTION
3.0,11.0,Individual,50.0,First Owner,Diesel,Manual,19.3,1248,73.9,5,MARUTI,SWIFT,DZIRE VDI
3.15,6.0,Dealer,60.0,First Owner,Petrol,Manual,23.01,999,67.0,5,RENAULT,KWID,1.0 RXL
6.0,7.0,Individual,80.0,First Owner,Diesel,Manual,14.0,2179,138.1,7,TATA,SAFARI,STORME VX
12.5,3.0,Individual,16.0,First Owner,Petrol,Automatic,15.4,1497,117.3,7,HONDA,BRV,I-VTEC V CVT
27.9,6.0,Dealer,25.0,First Owner,Diesel,Automatic,14.74,2993,270.9,5,JAGUAR,XF,3.0 LITRE S PREMIUM LUXURY
2.9,9.0,Dealer,63.0,First Owner,Petrol,Manual,18.5,1197,85.8,5,MARUTI,RITZ,LXI
4.6,5.0,Dealer,36.836,First Owner,Petrol,Automatic,23.1,998,67.04,5,MARUTI,CELERIO,ZXI AT
6.65,5.0,Dealer,7.0,First Owner,Petrol,Manual,17.7,1497,113.42,5,HYUNDAI,VERNA,SX OPT
41.0,8.0,Dealer,30.0,First Owner,Diesel,Automatic,9.52,2993,313.0,4,BMW,6,SERIES 640D GRAN COUPE
2.0,10.0,Individual,60.0,First Owner,Petrol,Manual,20.36,1197,78.9,5,HYUNDAI,I10,MAGNA
7.7,3.0,Dealer,35.0,First Owner,Diesel,Automatic,28.4,1248,74.0,5,MARUTI,SWIFT,AMT ZDI
1.7,10.0,Individual,20.0,First Owner,Petrol,Manual,19.7,796,46.3,5,MARUTI,ALTO,LXI
2.0,9.0,Dealer,33.7,First Owner,Petrol,Manual,20.92,998,67.1,5,MARUTI,ALTO,K10 2010-2014 VXI
2.75,12.0,Dealer,96.0,First Owner,Petrol,Manual,17.0,1197,80.0,5,HYUNDAI,I20,ASTA
7.1,3.0,Dealer,4.933,First Owner,Petrol,Manual,21.4,1197,83.1,5,MARUTI,BALENO,ALPHA 1.2
15.0,9.0,Dealer,52.0,First Owner,Diesel,Automatic,16.55,1968,140.0,5,AUDI,A4,2.0 TDI MULTITRONIC
8.41,6.0,Dealer,83.0,First Owner,Diesel,Automatic,18.23,1582,126.2,5,HYUNDAI,ELANTRA,1.6 SX OPTION AT
39.0,6.0,Dealer,60.0,First Owner,Diesel,Automatic,14.49,2993,258.0,5,BMW,7,SERIES 730LD
4.5,5.0,Dealer,87.0,First Owner,Diesel,Manual,25.32,1198,77.0,6,MAHINDRA,KUV,100 MFALCON D75 K4 PLUS
3.9,8.0,Dealer,75.518,First Owner,Petrol,Manual,18.5,1197,82.9,5,HYUNDAI,I20,MAGNA OPTIONAL 1.2
3.75,8.0,Dealer,38.0,First Owner,Petrol,Automatic,17.97,1498,99.6,5,NISSAN,SUNNY,XL AT SPECIAL EDITION
5.65,4.0,Dealer,13.355,First Owner,Petrol,Manual,21.4,1197,83.1,5,MARUTI,BALENO,DELTA 1.2
3.0,8.0,Dealer,45.0,First Owner,Petrol,Manual,19.4,1198,86.8,5,HONDA,BRIO,S MT
5.75,6.0,Dealer,49.0,First Owner,Petrol,Manual,20.73,1373,91.1,5,MARUTI,CIAZ,VXI
1.3,7.0,Dealer,80.0,First Owner,Petrol,Manual,25.4,624,37.5,4,TATA,NANO,TWIST XT
7.0,4.0,Individual,26.0,First Owner,Petrol,Manual,18.7,1199,88.7,5,HONDA,JAZZ,1.2 VX I VTEC
2.55,9.0,Dealer,57.0,First Owner,LPG,Manual,21.1,814,55.2,5,HYUNDAI,EON,LPG MAGNA PLUS
9.5,2.0,Individual,10.0,First Owner,Petrol,Automatic,14.8,1497,121.36,5,FORD,ECOSPORT,2015-2021 1.5 PETROL TITANIUM PLUS AT BSIV
5.5,3.0,Individual,27.0,First Owner,Petrol,Automatic,20.51,998,67.0,5,MARUTI,WAGON,R AMT VXI
4.15,4.0,Individual,30.0,First Owner,Petrol,Manual,20.89,1197,81.8,5,MARUTI,IGNIS,1.2 DELTA BSIV
6.5,6.0,Dealer,55.3,First Owner,Diesel,Automatic,21.66,1498,103.52,5,SKODA,RAPID,1.5 TDI AT ELEGANCE PLUS BLACK PACKAGE
5.5,11.0,Dealer,75.0,First Owner,Petrol,Automatic,11.3,2360,170.0,5,MITSUBISHI,OUTLANDER,2.4
3.25,10.0,Dealer,67.0,First Owner,Petrol,Manual,17.6,1496,88.73,5,TOYOTA,ETIOS,G
5.75,4.0,Dealer,13.0,First Owner,Petrol,Manual,19.1,1197,82.0,5,HYUNDAI,XCENT,1.2 KAPPA SX
8.99,4.0,Dealer,23.0,First Owner,Diesel,Manual,25.47,1248,88.5,7,MARUTI,ERTIGA,ZDI PLUS
4.25,4.0,Dealer,25.0,First Owner,Petrol,Automatic,21.79,998,67.05,5,MARUTI,WAGON,R VXI AMT
5.6,5.0,Dealer,15.068,First Owner,Petrol,Manual,21.4,1197,83.1,5,MARUTI,BALENO,DELTA 1.2
15.0,10.0,Dealer,63.0,First Owner,Diesel,Automatic,0.0,2987,165.0,5,MERCEDES-BENZ,M-CLASS,ML 350 4MATIC
2.99,9.0,Dealer,58.0,First Owner,Petrol,Manual,19.4,1198,86.8,5,HONDA,BRIO,V MT
2.95,9.0,Dealer,69.0,First Owner,LPG,Manual,19.0,1086,68.1,5,HYUNDAI,I10,LPG
5.1,8.0,Dealer,97.0,First Owner,Petrol,Manual,17.01,1591,121.3,5,HYUNDAI,VERNA,1.6 SX VTVT
2.95,9.0,Individual,70.0,First Owner,Petrol,Manual,19.4,1198,86.8,5,HONDA,BRIO,S MT
4.95,8.0,Dealer,44.9,First Owner,Petrol,Automatic,17.2,1197,103.6,5,VOLKSWAGEN,POLO,GT TSI
2.95,8.0,Individual,40.0,First Owner,Petrol,Manual,19.81,1086,68.05,5,HYUNDAI,I10,SPORTZ 1.1L
5.5,3.0,Dealer,4.075,First Owner,Petrol,Automatic,20.3,1086,68.07,5,HYUNDAI,SANTRO,SPORTZ AMT
63.0,2.0,Individual,10.0,First Owner,Diesel,Automatic,16.38,1999,177.0,5,JAGUAR,F-PACE,PRESTIGE 2.0 AWD
15.98,4.0,Dealer,45.212,First Owner,Diesel,Manual,16.3,1956,170.0,5,JEEP,COMPASS,2.0 LIMITED OPTION 4X4
4.91,3.0,Dealer,10.415,First Owner,Petrol,Manual,20.89,1197,81.8,5,MARUTI,IGNIS,1.2 DELTA BSIV
3.49,7.0,Dealer,69.0,First Owner,CNG,Manual,33.54,998,67.04,5,MARUTI,WAGON,R CNG LXI BSIV
0.8,14.0,Individual,50.0,First Owner,Petrol,Manual,18.2,1061,64.0,5,MARUTI,ZEN,ESTILO 1.1 LX BSIII
5.35,5.0,Dealer,28.854,First Owner,Petrol,Manual,18.9,1197,82.0,5,HYUNDAI,GRAND,I10 ASTA OPTION
7.54,4.0,Individual,25.0,First Owner,Diesel,Manual,28.4,1248,74.02,5,MARUTI,SWIFT,DZIRE VDI
4.4,7.0,Dealer,36.0,First Owner,Petrol,Manual,19.1,1197,81.86,5,HYUNDAI,XCENT,1.2 KAPPA S OPTION
40.0,4.0,Individual,30.0,First Owner,Petrol,Automatic,15.34,1998,249.0,5,BMW,3,SERIES 330I SPORT LINE
12.45,8.0,Dealer,54.0,First Owner,Diesel,Automatic,18.88,1995,184.0,5,BMW,3,SERIES 320D PRESTIGE
6.8,10.0,Individual,19.868,First Owner,Petrol,Manual,14.49,1399,92.7,5,CHEVROLET,AVEO,1.4 LT
1.85,12.0,Dealer,27.0,First Owner,Petrol,Manual,18.9,998,67.1,5,MARUTI,WAGON,R LXI BSIII
8.25,4.0,Dealer,93.0,First Owner,Diesel,Manual,23.65,1248,88.5,5,MARUTI,SX4,S CROSS DDIS 200 ZETA
9.64,3.0,Individual,74.0,First Owner,Diesel,Manual,24.2,1498,93.87,7,MARUTI,ERTIGA,1.5 VDI
3.75,8.0,Dealer,76.0,First Owner,Diesel,Manual,21.9,1396,88.76,5,HYUNDAI,I20,SPORTZ 1.4 CRDI
3.25,8.0,Dealer,66.0,First Owner,Diesel,Manual,17.21,1493,100.0,7,MAHINDRA,QUANTO,C8
3.19,3.0,Dealer,23.493,First Owner,Petrol,Manual,24.7,796,47.3,5,MARUTI,ALTO,800 LXI
7.49,5.0,Dealer,37.9,First Owner,Petrol,Automatic,18.19,1197,103.2,5,VOLKSWAGEN,VENTO,1.2 TSI HIGHLINE AT
3.11,9.0,Dealer,47.123,First Owner,Petrol,Manual,15.04,1598,103.6,5,VOLKSWAGEN,VENTO,PETROL HIGHLINE
4.0,4.0,Dealer,29.0,First Owner,Petrol,Automatic,24.04,999,67.0,5,RENAULT,KWID,CLIMBER 1.0 AMT
6.8,4.0,Dealer,14.0,First Owner,Petrol,Automatic,18.2,1199,88.7,5,HONDA,JAZZ,V CVT
13.95,4.0,Dealer,35.0,First Owner,Diesel,Manual,16.0,2179,140.0,7,MAHINDRA,XUV500,W10 AWD
2.45,11.0,Dealer,69.0,First Owner,Petrol,Manual,18.5,1197,80.0,5,HYUNDAI,I20,1.2 MAGNA
4.0,12.0,Dealer,80.0,First Owner,Diesel,Manual,12.05,2179,120.0,8,MAHINDRA,SCORPIO,VLX 2WD BSIII
4.48,9.0,Dealer,65.253,First Owner,Diesel,Manual,12.05,2179,120.0,8,MAHINDRA,SCORPIO,SLE BSIII
6.6,5.0,Dealer,78.01,First Owner,Diesel,Automatic,21.66,1498,103.52,5,SKODA,RAPID,1.5 TDI AT AMBITION
5.0,4.0,Individual,17.5,First Owner,Petrol,Manual,18.9,1197,81.86,5,HYUNDAI,GRAND,I10 1.2 KAPPA ASTA
3.0,5.0,Dealer,21.0,First Owner,Petrol,Manual,22.3,799,53.26,5,RENAULT,KWID,RXT
2.74,9.0,Dealer,45.0,First Owner,Petrol,Manual,19.4,1198,86.8,5,HONDA,BRIO,V MT
3.9,6.0,Dealer,28.0,First Owner,Petrol,Manual,18.9,998,67.1,5,MARUTI,WAGON,R VXI
4.8,8.0,Dealer,70.0,First Owner,Diesel,Automatic,22.32,1582,126.3,5,HYUNDAI,VERNA,1.6 CRDI EX AT
3.46,3.0,Dealer,3.2,First Owner,Petrol,Automatic,23.0,999,67.0,5,DATSUN,REDIGO,AMT 1.0 S
19.28,10.0,Dealer,64.792,First Owner,Diesel,Automatic,0.0,2987,165.0,5,MERCEDES-BENZ,M-CLASS,ML 350 4MATIC
3.4,7.0,Dealer,56.0,First Owner,CNG,Manual,31.79,998,58.2,5,MARUTI,CELERIO,GREEN VXI
6.78,6.0,Individual,56.4,First Owner,CNG,Manual,22.8,1373,80.9,7,MARUTI,ERTIGA,VXI CNG
2.95,6.0,Individual,190.0,First Owner,Diesel,Manual,25.8,1498,98.6,5,HONDA,AMAZE,S I-DTECH
9.0,4.0,Individual,100.0,First Owner,Diesel,Manual,14.1,2179,153.86,7,TATA,SAFARI,STORME VX VARICOR 400
8.25,6.0,Dealer,24.0,First Owner,Petrol,Automatic,18.0,1497,117.3,5,HONDA,CITY,I VTEC CVT VX
8.25,5.0,Dealer,76.0,First Owner,Diesel,Manual,24.52,1248,88.5,7,MARUTI,ERTIGA,SHVS VDI
7.0,4.0,Individual,70.0,First Owner,Diesel,Manual,16.5,1493,70.0,7,MAHINDRA,BOLERO,POWER PLUS ZLX
5.35,6.0,Individual,112.3,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,ASTA OPTION 1.2
5.8,7.0,Dealer,66.0,First Owner,Diesel,Automatic,21.66,1498,103.52,5,SKODA,RAPID,1.5 TDI AT ELEGANCE
4.25,8.0,Dealer,61.0,First Owner,Diesel,Manual,24.0,1120,70.0,5,HYUNDAI,GRAND,I10 CRDI MAGNA
3.0,15.0,Individual,120.0,First Owner,Diesel,Manual,12.7,2609,116.6,8,MAHINDRA,SCORPIO,2.6 TURBO 7 STR
14.0,7.0,Dealer,37.0,First Owner,Diesel,Manual,13.5,2477,175.56,7,MITSUBISHI,PAJERO,SPORT 4X4
4.9,3.0,Dealer,28.314,First Owner,Petrol,Manual,23.1,998,67.04,5,MARUTI,CELERIO,ZXI MT BSIV
2.75,11.0,Dealer,23.0,First Owner,Petrol,Manual,17.0,1197,80.0,5,HYUNDAI,I20,1.2 ASTA
11.85,1.0,Dealer,4.0,First Owner,Petrol,Automatic,18.15,998,118.35,5,HYUNDAI,VENUE,SX PLUS TURBO DCT BSIV
13.5,5.0,Dealer,42.485,First Owner,Diesel,Manual,16.0,2179,140.0,7,MAHINDRA,XUV500,W10 AWD
6.0,6.0,Dealer,87.0,First Owner,Petrol,Automatic,17.21,1197,103.5,5,VOLKSWAGEN,POLO,2015-2019 GT TSI
5.25,6.0,Dealer,15.0,First Owner,Petrol,Automatic,18.9,1197,81.86,5,HYUNDAI,GRAND,I10 AT SPORTZ
4.95,3.0,Dealer,2.5,First Owner,Petrol,Automatic,23.84,1199,84.0,5,TATA,TIAGO,1.2 REVOTRON XTA
3.45,3.0,Dealer,29.0,First Owner,CNG,Manual,33.44,796,40.3,4,MARUTI,ALTO,800 CNG LXI OPTIONAL
5.95,6.0,Trustmark Dealer,54.625,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,SPORTZ 1.2
12.5,2.0,Dealer,8.0,First Owner,Petrol,Automatic,17.0,1591,121.3,5,HYUNDAI,VERNA,VTVT 1.6 AT SX OPTION
0.5,19.0,Individual,120.0,First Owner,Petrol,Manual,18.9,1061,47.0,5,MARUTI,ALTO,VXI 1.1
75.0,4.0,Dealer,21.119,First Owner,Diesel,Automatic,16.46,2993,258.0,5,BMW,7,SERIES SIGNATURE 730LD
20.0,2.0,Dealer,35.0,First Owner,Diesel,Manual,13.68,2393,147.51,7,TOYOTA,INNOVA,CRYSTA 2016-2020 2.4 VX MT
5.75,5.0,Dealer,30.0,First Owner,Diesel,Automatic,22.0,1498,108.495,5,VOLKSWAGEN,AMEO,1.5 TDI HIGHLINE AT 16 ALLOY
8.1,3.0,Dealer,32.0,First Owner,Petrol,Manual,17.5,1373,91.1,7,MARUTI,ERTIGA,VXI LIMITED EDITION
28.0,10.0,Individual,45.0,First Owner,Diesel,Automatic,14.74,2993,270.9,5,JAGUAR,XF,3.0 LITRE S PREMIUM LUXURY
38.5,5.0,Dealer,46.0,First Owner,Diesel,Automatic,15.97,2993,258.0,5,BMW,X5,XDRIVE 30D DESIGN PURE EXPERIENCE 5 SEATER
3.85,9.0,Dealer,73.0,First Owner,Diesel,Manual,22.9,1248,74.0,5,MARUTI,SWIFT,VDI
6.0,4.0,Dealer,23.0,First Owner,Petrol,Manual,21.01,1197,81.8,5,MARUTI,BALENO,DELTA
4.75,8.0,Individual,120.0,First Owner,Diesel,Manual,23.4,1248,74.0,5,MARUTI,SWIFT,DZIRE VDI
4.9,8.0,Dealer,30.588,First Owner,Petrol,Manual,16.2,1599,103.2,5,HYUNDAI,VERNA,TRANSFORM VTVT
6.25,3.0,Dealer,14.577,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,1.2 MAGNA EXECUTIVE
1.25,13.0,Dealer,71.0,First Owner,Petrol,Manual,15.5,1108,57.0,5,FIAT,PALIO,STILE 1.1 SLX
5.3,6.0,Dealer,55.0,First Owner,Petrol,Manual,22.0,1197,81.8,5,MARUTI,SWIFT,VXI BSIV
3.95,2.0,Dealer,3.8,First Owner,Petrol,Automatic,4.0,3855,601.0,4,FERRARI,GTC4LUSSO,T
10.0,3.0,Dealer,33.0,First Owner,Diesel,Manual,28.09,1248,88.5,5,MARUTI,CIAZ,1.3 ALPHA
2.5,8.0,Individual,55.0,First Owner,Diesel,Manual,20.0,1399,68.1,5,FORD,FIGO,DIESEL CELEBRATION EDITION
2.7,9.0,Dealer,75.0,First Owner,Petrol,Manual,18.44,1198,75.0,5,NISSAN,MICRA,XL
7.25,5.0,Dealer,90.0,First Owner,Petrol,Automatic,18.0,1497,117.3,5,HONDA,CITY,I VTEC CVT VX
3.75,3.0,Dealer,6.8,First Owner,Petrol,Manual,23.95,998,67.05,5,MARUTI,ALTO,K10 VXI
6.99,8.0,Dealer,68.192,First Owner,Diesel,Manual,15.1,2179,140.0,7,MAHINDRA,XUV500,2011-2015 W8 FWD
6.75,11.0,Dealer,105.0,First Owner,Petrol,Manual,12.4,1998,132.0,8,TOYOTA,INNOVA,2.0 V
5.49,9.0,Dealer,88.25,First Owner,Diesel,Automatic,16.96,1968,138.03,5,VOLKSWAGEN,JETTA,2.0L TDI HIGHLINE AT
5.65,7.0,Dealer,52.455,First Owner,Diesel,Manual,20.54,1598,103.6,5,VOLKSWAGEN,VENTO,KONEKT DIESEL HIGHLINE
5.45,7.0,Dealer,66.266,First Owner,Diesel,Manual,21.27,1396,88.76,5,HYUNDAI,I20,ASTA 1.4 CRDI
6.5,6.0,Dealer,100.0,First Owner,CNG,Manual,22.8,1373,80.9,7,MARUTI,ERTIGA,VXI CNG LIMITED EDITION
8.11,5.0,Dealer,41.974,First Owner,Diesel,Manual,24.52,1248,88.5,7,MARUTI,ERTIGA,SHVS VDI
45.0,7.0,Dealer,110.0,First Owner,Diesel,Automatic,15.15,2967,240.0,5,PORSCHE,CAYENNE,DIESEL
1.8,9.0,Individual,21.0,First Owner,Petrol,Manual,18.6,1199,79.4,5,CHEVROLET,BEAT,LS
8.25,5.0,Dealer,84.0,First Owner,Diesel,Manual,24.52,1248,88.5,7,MARUTI,ERTIGA,SHVS VDI
3.7,9.0,Individual,106.0,First Owner,Diesel,Manual,19.3,1248,73.9,5,MARUTI,SWIFT,DZIRE LDI BSIV
